Персонаж,Опыт в начале,Посещение,Продвижение по сюжету,Мотивация,Слабости,Дневник,Опыт в конце
Гракх,0,1,1,1,1,1,5
Аль-Сайид,0,1,1,,1,1,4
Alfir Ga-Nor,0,1,1,1,,1,4
Morrigan,0,1,1,1,,1,4
Уэлби Оливка,0,1,1,1,1,,4
