Игрок,Телеграм,Персонаж,Раса-класс,Уровень
Константин,@KonstantinRst,Гракх,орк-монах,2
Владимир,@kayfatiko,Педро,человек-воин,3
Mias,@MiasLan,Morrigan,аасимар-жрец,2
Peter Tovanov,@peterblack,ThePeterBlack,эльф-волшебник,2
LeonidSmith,@leonid_smith,Rico Grin,тифлинг-плут,2
