Персонаж,Посещение,Продвижение по сюжету,Мотивация,Слабости,Дневник,Получено за игру
Levian Alvaro,1,1,,,1,3
Rico Grin,1,1,,1,1,4
ThePeterBlack,1,1,,,,2
Velas,1,1,1,,1,4
Эйен,1,1,,1,1,4
