Игрок,Телеграм,Персонаж,Раса-класс,Уровень
Лада,@redarW,Лоран де'Ривер,драконорожденный-плут,2
Ада,@Adallirian,Сафира Штаарн,драконорожденный-друид,2
Таня,@MotherOfSharkz,Орущие на Луну,орк-друид,2
Илья,@Fomin_Iliya,FominFin,человек-паладин,2
Ксюша,@kseniia,Нитра,тифлинг-воин,2
